Extract Name	Comment [TCGA Barcode]	Material Type	Protocol REF	Assay Name	Protocol REF	Assay Name	Protocol REF	Assay Name	Comment [NCBI SRA Experiment Accession]	Annotation REF	Protocol REF	Data Transformation Name	Derived Data File REF	Comment [Genome reference]	Comment [NCBI dbGAP Experiment Accession]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Protocol REF	Data Transformation Name	Derived Data File	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]
005a0c90-a762-4df7-8b44-b4facd06e9b1	TCGA-BP-4342-01A-01R-1289-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	005a0c90-a762-4df7-8b44-b4facd06e9b1 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	005a0c90-a762-4df7-8b44-b4facd06e9b1 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	005a0c90-a762-4df7-8b44-b4facd06e9b1 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	005a0c90-a762-4df7-8b44-b4facd06e9b1 consensus_mRNA	UNCID_1229603.005a0c90-a762-4df7-8b44-b4facd06e9b1.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	005a0c90-a762-4df7-8b44-b4facd06e9b1 gene_expression	unc.edu.005a0c90-a762-4df7-8b44-b4facd06e9b1.1768104.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_RNASeqV2.Level_3.1.4.0
00bf750b-2ce6-4d91-8b8a-3db59e4f6c24	TCGA-CZ-4862-01A-01R-1305-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	00bf750b-2ce6-4d91-8b8a-3db59e4f6c24 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	00bf750b-2ce6-4d91-8b8a-3db59e4f6c24 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	00bf750b-2ce6-4d91-8b8a-3db59e4f6c24 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	00bf750b-2ce6-4d91-8b8a-3db59e4f6c24 consensus_mRNA	UNCID_1157445.00bf750b-2ce6-4d91-8b8a-3db59e4f6c24.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	00bf750b-2ce6-4d91-8b8a-3db59e4f6c24 gene_expression	unc.edu.00bf750b-2ce6-4d91-8b8a-3db59e4f6c24.1767642.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_RNASeqV2.Level_3.1.4.0
011f1e57-18d7-4cb0-8cb4-af7b151496b9	TCGA-B0-4821-01A-01R-1503-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	011f1e57-18d7-4cb0-8cb4-af7b151496b9 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	011f1e57-18d7-4cb0-8cb4-af7b151496b9 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	011f1e57-18d7-4cb0-8cb4-af7b151496b9 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	011f1e57-18d7-4cb0-8cb4-af7b151496b9 consensus_mRNA	UNCID_1195241.011f1e57-18d7-4cb0-8cb4-af7b151496b9.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	011f1e57-18d7-4cb0-8cb4-af7b151496b9 gene_expression	unc.edu.011f1e57-18d7-4cb0-8cb4-af7b151496b9.1764904.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_RNASeqV2.Level_3.1.4.0
0164ecc1-16dd-42c8-814d-d787220f475e	TCGA-CZ-5456-11A-02R-1503-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	0164ecc1-16dd-42c8-814d-d787220f475e reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	0164ecc1-16dd-42c8-814d-d787220f475e library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	0164ecc1-16dd-42c8-814d-d787220f475e RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	0164ecc1-16dd-42c8-814d-d787220f475e consensus_mRNA	UNCID_1176255.0164ecc1-16dd-42c8-814d-d787220f475e.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	0164ecc1-16dd-42c8-814d-d787220f475e gene_expression	unc.edu.0164ecc1-16dd-42c8-814d-d787220f475e.1762691.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_RNASeqV2.Level_3.1.4.0
017b8d94-3c24-4bb0-9aff-f8bc623d2f4b	TCGA-CJ-5681-01A-11R-1541-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	017b8d94-3c24-4bb0-9aff-f8bc623d2f4b reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	017b8d94-3c24-4bb0-9aff-f8bc623d2f4b library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	017b8d94-3c24-4bb0-9aff-f8bc623d2f4b RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	017b8d94-3c24-4bb0-9aff-f8bc623d2f4b consensus_mRNA	UNCID_1193638.017b8d94-3c24-4bb0-9aff-f8bc623d2f4b.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	017b8d94-3c24-4bb0-9aff-f8bc623d2f4b gene_expression	unc.edu.017b8d94-3c24-4bb0-9aff-f8bc623d2f4b.1763663.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_RNASeqV2.Level_3.1.4.0
021f38df-d9cd-4b4b-8fd6-8fc2bc4eb3fc	TCGA-BP-4770-01A-01R-1503-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	021f38df-d9cd-4b4b-8fd6-8fc2bc4eb3fc reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	021f38df-d9cd-4b4b-8fd6-8fc2bc4eb3fc library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	021f38df-d9cd-4b4b-8fd6-8fc2bc4eb3fc RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	021f38df-d9cd-4b4b-8fd6-8fc2bc4eb3fc consensus_mRNA	UNCID_1180406.021f38df-d9cd-4b4b-8fd6-8fc2bc4eb3fc.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	021f38df-d9cd-4b4b-8fd6-8fc2bc4eb3fc gene_expression	unc.edu.021f38df-d9cd-4b4b-8fd6-8fc2bc4eb3fc.1765258.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_RNASeqV2.Level_3.1.4.0
02b2565a-f5d4-4487-a8b1-f6a9779bb567	TCGA-CJ-4875-01A-01R-1305-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	02b2565a-f5d4-4487-a8b1-f6a9779bb567 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	02b2565a-f5d4-4487-a8b1-f6a9779bb567 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	02b2565a-f5d4-4487-a8b1-f6a9779bb567 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	02b2565a-f5d4-4487-a8b1-f6a9779bb567 consensus_mRNA	UNCID_1171832.02b2565a-f5d4-4487-a8b1-f6a9779bb567.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	02b2565a-f5d4-4487-a8b1-f6a9779bb567 gene_expression	unc.edu.02b2565a-f5d4-4487-a8b1-f6a9779bb567.1768035.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_RNASeqV2.Level_3.1.4.0
037a8797-3399-411b-892c-fd608c8e3987	TCGA-B0-4712-01A-01R-1503-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	037a8797-3399-411b-892c-fd608c8e3987 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	037a8797-3399-411b-892c-fd608c8e3987 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	037a8797-3399-411b-892c-fd608c8e3987 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	037a8797-3399-411b-892c-fd608c8e3987 consensus_mRNA	UNCID_1181569.037a8797-3399-411b-892c-fd608c8e3987.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	037a8797-3399-411b-892c-fd608c8e3987 gene_expression	unc.edu.037a8797-3399-411b-892c-fd608c8e3987.1765210.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_RNASeqV2.Level_3.1.4.0
039a7b01-3a1f-40d4-a636-09e2819db256	TCGA-B0-5077-01A-01R-1334-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	039a7b01-3a1f-40d4-a636-09e2819db256 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	039a7b01-3a1f-40d4-a636-09e2819db256 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	039a7b01-3a1f-40d4-a636-09e2819db256 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	039a7b01-3a1f-40d4-a636-09e2819db256 consensus_mRNA	UNCID_1193578.039a7b01-3a1f-40d4-a636-09e2819db256.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	039a7b01-3a1f-40d4-a636-09e2819db256 gene_expression	unc.edu.039a7b01-3a1f-40d4-a636-09e2819db256.1767307.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_RNASeqV2.Level_3.1.4.0
03b6775f-bf45-48ac-96f6-19d3173cb4f4	TCGA-CJ-4868-01A-01R-1305-07	Total RNA	unc.edu:reverse_transcription:IlluminaHiSeq_RNASeqV2:2	03b6775f-bf45-48ac-96f6-19d3173cb4f4 reverse_transcription	unc.edu:library_preparation:IlluminaHiSeq_RNASeqV2:2	03b6775f-bf45-48ac-96f6-19d3173cb4f4 library_preparation	unc.edu:RNA_Sequencing:IlluminaHiSeq_RNASeqV2:2	03b6775f-bf45-48ac-96f6-19d3173cb4f4 RNA_Sequencing	->	http://tcga-data.nci.nih.gov/docs/GAF/GAF.hg19.June2011.bundle/outputs/TCGA.hg19.June2011.gaf	unc.edu:consensus_mRNA:IlluminaHiSeq_RNASeqV2:2	03b6775f-bf45-48ac-96f6-19d3173cb4f4 consensus_mRNA	UNCID_1169707.03b6775f-bf45-48ac-96f6-19d3173cb4f4.sorted_genome_alignments.bam	hg19 (GRCh37)	->	yes	RNA Sequence-Alignment	Level 1	unc.edu:exon_quantification:IlluminaHiSeq_RNASeqV2:2	03b6775f-bf45-48ac-96f6-19d3173cb4f4 gene_expression	unc.edu.03b6775f-bf45-48ac-96f6-19d3173cb4f4.1767683.bt.exon_quantification.txt	yes	exon_quantification	Level 3	unc.edu_KIRC.IlluminaHiSeq_RNASeqV2.Level_3.1.4.0
